"Atm";"ProcessDate";"Withdrawal"
"ATM8";"2017-01-01";117730
"ATM8";"2017-01-02";85920
"ATM8";"2017-01-03";88720
"ATM8";"2017-01-04";85080
"ATM8";"2017-01-05";84110
"ATM8";"2017-01-06";149760
"ATM8";"2017-01-07";155460
"ATM8";"2017-01-08";103680
"ATM8";"2017-01-09";80130
"ATM8";"2017-01-10";72110
"ATM8";"2017-01-11";67630
"ATM8";"2017-01-12";73160
"ATM8";"2017-01-13";96800
"ATM8";"2017-01-14";108830
"ATM8";"2017-01-15";94080
"ATM8";"2017-01-16";119230
"ATM8";"2017-01-17";52180
"ATM8";"2017-01-18";42510
"ATM8";"2017-01-19";131890
"ATM8";"2017-01-20";152310
"ATM8";"2017-01-21";114000
"ATM8";"2017-01-22";135150
"ATM8";"2017-01-23";107720
"ATM8";"2017-01-24";92830
"ATM8";"2017-01-25";102830
"ATM8";"2017-01-26";116300
"ATM8";"2017-01-27";163850
"ATM8";"2017-01-28";138850
"ATM8";"2017-01-29";100260
"ATM8";"2017-01-30";102900
"ATM8";"2017-01-31";95900
"ATM8";"2017-02-01";109110
"ATM8";"2017-02-02";91590
"ATM8";"2017-02-03";160840
"ATM8";"2017-02-04";111490
"ATM8";"2017-02-05";120860
"ATM8";"2017-02-06";100110
"ATM8";"2017-02-07";87720
"ATM8";"2017-02-08";93540
"ATM8";"2017-02-09";110330
"ATM8";"2017-02-10";119890
"ATM8";"2017-02-11";148590
"ATM8";"2017-02-12";176970
"ATM8";"2017-02-13";116500
"ATM8";"2017-02-14";81280
"ATM8";"2017-02-15";131190
"ATM8";"2017-02-16";144920
"ATM8";"2017-02-17";191210
"ATM8";"2017-02-18";167350
"ATM8";"2017-02-19";145540
"ATM8";"2017-02-20";138340
"ATM8";"2017-02-21";94910
"ATM8";"2017-02-22";95770
"ATM8";"2017-02-23";131510
"ATM8";"2017-02-24";179950
"ATM8";"2017-02-25";86440
"ATM8";"2017-02-26";85280
"ATM8";"2017-02-27";56180
"ATM8";"2017-02-28";54910
"ATM8";"2017-03-01";46540
"ATM8";"2017-03-02";65510
"ATM8";"2017-03-03";84950
"ATM8";"2017-03-04";80870
"ATM8";"2017-03-05";47780
"ATM8";"2017-03-06";31350
"ATM8";"2017-03-07";30940
"ATM8";"2017-03-08";33770
"ATM8";"2017-03-09";41740
"ATM8";"2017-03-10";71120
"ATM8";"2017-03-11";49350
"ATM8";"2017-03-12";27020
"ATM8";"2017-03-13";30680
"ATM8";"2017-03-14";17410
"ATM8";"2017-03-15";16100
"ATM8";"2017-03-16";16140
"ATM8";"2017-03-17";29470
"ATM8";"2017-03-18";34150
"ATM8";"2017-03-19";24840
"ATM8";"2017-03-20";11700
"ATM8";"2017-03-21";4370
"ATM8";"2017-03-22";4080
"ATM8";"2017-03-23";14830
"ATM8";"2017-03-24";11180
"ATM8";"2017-03-25";17350
"ATM8";"2017-03-26";8860
"ATM8";"2017-03-27";6520
"ATM8";"2017-03-28";3670
"ATM8";"2017-03-29";3480
"ATM8";"2017-03-30";2250
"ATM8";"2017-03-31";9510
"ATM8";"2017-04-01";6450
"ATM8";"2017-04-02";5110
"ATM8";"2017-04-03";150
"ATM8";"2017-04-04";200
"ATM8";"2017-04-05";1520
"ATM8";"2017-04-06";1540
"ATM8";"2017-04-07";550
"ATM8";"2017-04-08";180
"ATM8";"2017-04-09";200
"ATM8";"2017-04-10";650
"ATM8";"2017-04-12";800
"ATM8";"2017-04-13";700
"ATM8";"2017-04-14";2880
"ATM8";"2017-04-15";5480
"ATM8";"2017-04-16";3500
"ATM8";"2017-04-17";5720
"ATM8";"2017-04-18";150
"ATM8";"2017-04-19";250
"ATM8";"2017-04-20";3300
"ATM8";"2017-04-21";600
"ATM8";"2017-04-22";5680
"ATM8";"2017-04-23";500
"ATM8";"2017-04-25";1100
"ATM8";"2017-04-26";330
"ATM8";"2017-04-28";2700
"ATM8";"2017-04-29";5760
"ATM8";"2017-04-30";5930
"ATM8";"2017-05-01";8190
"ATM8";"2017-05-02";14460
"ATM8";"2017-05-03";4810
"ATM8";"2017-05-04";14720
"ATM8";"2017-05-05";4250
"ATM8";"2017-05-06";2570
"ATM8";"2017-05-07";400
"ATM8";"2017-05-08";1100
"ATM8";"2017-05-09";780
"ATM8";"2017-05-10";400
"ATM8";"2017-05-12";1800
"ATM8";"2017-05-13";900
"ATM8";"2017-05-14";1260
"ATM8";"2017-05-15";1250
"ATM8";"2017-05-16";360
"ATM8";"2017-05-17";600
"ATM8";"2017-05-18";1050
"ATM8";"2017-05-19";1390
"ATM8";"2017-05-20";1800
"ATM8";"2017-05-21";1350
"ATM8";"2017-05-22";860
"ATM8";"2017-05-23";70
"ATM8";"2017-05-24";100
"ATM8";"2017-05-25";1030
"ATM8";"2017-05-26";1000
"ATM8";"2017-05-27";3510
"ATM8";"2017-05-28";700
"ATM8";"2017-05-29";4300
"ATM8";"2017-05-30";1500
"ATM8";"2017-05-31";1420
"ATM8";"2017-06-01";230
"ATM8";"2017-06-02";5030
"ATM8";"2017-06-03";4170
"ATM8";"2017-06-04";3030
"ATM8";"2017-06-05";100
"ATM8";"2017-06-06";1200
"ATM8";"2017-06-07";1100
"ATM8";"2017-06-08";2720
"ATM8";"2017-06-09";3750
"ATM8";"2017-06-10";320
"ATM8";"2017-06-11";2250
"ATM8";"2017-06-12";6440
"ATM8";"2017-06-13";3260
"ATM8";"2017-06-14";4950
"ATM8";"2017-06-15";5040
"ATM8";"2017-06-16";5410
"ATM8";"2017-06-17";4770
"ATM8";"2017-06-18";6790
"ATM8";"2017-06-19";1250
"ATM8";"2017-06-20";650
"ATM8";"2017-06-21";2800
"ATM8";"2017-06-22";1500
"ATM8";"2017-06-23";1800
"ATM8";"2017-06-24";10620
"ATM8";"2017-06-25";13740
"ATM8";"2017-06-26";4380
"ATM8";"2017-06-27";4280
"ATM8";"2017-06-28";2670
"ATM8";"2017-06-29";5430
"ATM8";"2017-06-30";8630
"ATM8";"2017-07-01";8340
"ATM8";"2017-07-02";9630
"ATM8";"2017-07-03";6460
"ATM8";"2017-07-04";5640
"ATM8";"2017-07-05";5920
"ATM8";"2017-07-06";7630
"ATM8";"2017-07-07";8290
"ATM8";"2017-07-08";14090
"ATM8";"2017-07-09";7300
"ATM8";"2017-07-10";4200
"ATM8";"2017-07-11";11350
"ATM8";"2017-07-12";8110
"ATM8";"2017-07-13";10780
"ATM8";"2017-07-14";9580
"ATM8";"2017-07-15";16510
"ATM8";"2017-07-16";22340
"ATM8";"2017-07-17";15120
"ATM8";"2017-07-18";9180
"ATM8";"2017-07-19";14740
"ATM8";"2017-07-20";18960
"ATM8";"2017-07-21";19050
"ATM8";"2017-07-22";16830
"ATM8";"2017-07-23";11620
"ATM8";"2017-07-24";14470
"ATM8";"2017-07-25";8960
"ATM8";"2017-07-26";10360
"ATM8";"2017-07-27";18000
"ATM8";"2017-07-28";16290
"ATM8";"2017-07-29";23090
"ATM8";"2017-07-30";18560
"ATM8";"2017-07-31";14530
"ATM8";"2017-08-01";16090
"ATM8";"2017-08-02";15660
"ATM8";"2017-08-03";10820
"ATM8";"2017-08-04";19200
"ATM8";"2017-08-05";34140
"ATM8";"2017-08-06";19150
"ATM8";"2017-08-07";11410
"ATM8";"2017-08-08";10760
"ATM8";"2017-08-09";17390
